timestamp,country,city,station_type,temperature,humidity,wind_speed,precipitation,pm2.5,pm10,no2,co,o3,so2,aqi,aqi_category,hour,day_of_week,month,season
2020-01-01 00:00:00,Belgium,Bruges,Industrial,20.22,33.85,5.42,1.23,38.38,53.33,30.49,0.418,53.27,10.7,109.67,Unhealthy_for_Sensitive,0.0,2.0,1.0,1.0
2020-01-01 01:00:00,France,Toulouse,Rural,18.09,34.29,7.61,0.0,18.39,25.05,24.59,,43.2,0.76,61.48,Moderate,1.0,2.0,1.0,1.0
2020-01-01 02:00:00,Italy,Turin,Rural,14.78,41.11,5.79,5.95,29.44,42.04,31.27,0.402,70.26,4.96,84.12,Moderate,2.0,2.0,1.0,1.0
2020-01-01 03:00:00,Italy,Milan,Urban_Traffic,12.21,48.23,5.23,0.0,48.77,85.61,43.88,0.666,41.48,0.25,171.23,Unhealthy,3.0,2.0,1.0,1.0
2020-01-01 04:00:00,France,Marseille,Industrial,19.8,40.86,2.92,0.0,32.03,36.87,24.11,0.554,41.81,11.43,91.52,Moderate,4.0,2.0,1.0,1.0
2020-01-01 05:00:00,Portugal,Braga,Urban_Background,24.02,24.92,23.8,0.74,35.21,41.11,39.53,0.422,46.76,4.77,100.6,Unhealthy_for_Sensitive,5.0,2.0,1.0,1.0
2020-01-01 06:00:00,Italy,Rome,Industrial,24.98,43.38,41.98,0.0,12.1,7.06,13.12,0.109,42.72,9.34,46.7,Good,6.0,2.0,1.0,1.0
2020-01-01 07:00:00,Spain,Madrid,Suburban,19.29,47.05,17.89,0.0,25.17,33.07,20.65,0.384,64.99,4.37,71.92,Moderate,7.0,2.0,1.0,1.0
2020-01-01 08:00:00,Portugal,Braga,Rural,21.12,37.44,21.8,0.87,20.49,20.06,26.5,0.237,85.98,1.71,85.98,Moderate,8.0,2.0,,1.0
2020-01-01 09:00:00,Austria,Graz,Suburban,22.07,42.15,1.18,0.0,34.52,55.72,25.51,0.572,50.96,12.39,111.44,Unhealthy_for_Sensitive,9.0,2.0,1.0,1.0
2020-01-01 10:00:00,Netherlands,The Hague,Industrial,23.69,25.74,17.7,0.0,33.86,65.98,37.5,0.322,48.42,12.18,131.96,Unhealthy_for_Sensitive,10.0,2.0,1.0,1.0
,Poland,Poznan,Urban_Background,14.4,45.87,32.52,3.61,21.74,20.07,29.29,0.254,44.25,5.21,73.21,Moderate,11.0,2.0,1.0,1.0
2020-01-01 12:00:00,Belgium,Bruges,Urban_Traffic,12.9,55.5,8.73,0.0,32.22,46.98,,0.647,57.88,9.09,112.08,Unhealthy_for_Sensitive,12.0,2.0,1.0,1.0
2020-01-01 13:00:00,,Paris,Rural,30.2,50.0,16.22,0.65,28.51,45.06,26.11,0.464,63.41,10.37,90.12,Moderate,13.0,2.0,1.0,1.0
2020-01-01 14:00:00,Sweden,Malmo,Urban_Traffic,26.83,44.74,5.47,0.0,,53.94,32.97,0.652,64.32,6.27,108.83,Unhealthy_for_Sensitive,14.0,,1.0,1.0
2020-01-01 15:00:00,Germany,Frankfurt,Rural,22.2,62.73,16.18,0.0,26.03,38.04,35.7,0.355,35.49,2.46,89.24,Moderate,15.0,2.0,1.0,1.0
2020-01-01 16:00:00,Germany,Frankfurt,Urban_Traffic,20.63,,6.43,0.0,36.93,56.83,47.46,0.52,59.7,8.14,118.64,Unhealthy_for_Sensitive,16.0,2.0,1.0,1.0
2020-01-01 17:00:00,Italy,Turin,Urban_Background,15.79,47.1,15.74,0.0,33.74,50.55,44.77,0.457,58.3,6.68,111.93,Unhealthy_for_Sensitive,17.0,2.0,1.0,1.0
2020-01-01 18:00:00,Germany,Berlin,Suburban,19.75,57.79,9.66,0.0,22.23,28.62,38.18,0.434,51.62,0.32,95.45,Moderate,18.0,2.0,1.0,1.0
2020-01-01 19:00:00,Netherlands,The Hague,Urban_Traffic,,41.5,16.13,0.0,28.09,44.09,39.78,0.645,54.36,6.56,99.45,Moderate,19.0,2.0,1.0,1.0
2020-01-01 20:00:00,Netherlands,Amsterdam,Rural,25.82,32.61,,0.0,22.63,26.42,36.15,0.557,47.47,0.35,90.37,Moderate,20.0,2.0,1.0,1.0
