date,country,avg_pm25,avg_pm10,avg_no2,avg_aqi,aqi_category,sentiment_score,avg_impact_score,num_documents
2020-01-01,Austria,34.52,55.72,25.51,111.44,Unhealthy_for_Sensitive,0.0,2.84,19
2020-01-01,Belgium,35.3,50.16,31.84,110.88,Unhealthy_for_Sensitive,0.0,2.84,19
2020-01-01,France,25.21,30.96,24.35,76.5,Moderate,0.0,2.84,19
2020-01-01,Germany,28.43,42.14,36.86,98.36,Moderate,0.0,2.84,19
2020-01-01,Italy,25.09,33.22,29.72,80.92,Good,0.0,2.84,19
2020-01-01,Netherlands,29.59,48.28,31.88,106.31,Moderate,0.0,2.84,19
2020-01-01,Poland,29.6,49.9,33.18,107.93,Unhealthy_for_Sensitive,0.0,2.84,19
2020-01-01,Portugal,27.85,30.59,33.02,93.29,Moderate,0.0,2.84,19
2020-01-01,Spain,25.17,33.07,20.65,71.92,Moderate,0.0,2.84,19
2020-01-01,Sweden,25.16,53.94,32.97,108.83,Unhealthy_for_Sensitive,0.0,2.84,19
2020-01-02,Austria,32.54,46.85,32.2,105.06,Unhealthy_for_Sensitive,0.148,3.08,27
2020-01-02,Belgium,27.99,24.1,16.02,79.96,Moderate,0.148,3.08,27
2020-01-02,France,29.7,31.29,27.62,96.43,Moderate,0.148,3.08,27
2020-01-02,Germany,32.24,50.7,45.07,115.2,Unhealthy_for_Sensitive,0.148,3.08,27
2020-01-02,Italy,23.84,31.45,22.36,72.85,Moderate,0.148,3.08,27
2020-01-02,Netherlands,29.69,39.58,32.41,90.56,Moderate,0.148,3.08,27
2020-01-02,Portugal,29.6,45.28,36.76,91.89,Moderate,0.148,3.08,27
2020-01-02,Spain,28.65,49.7,26.32,99.41,Moderate,0.148,3.08,27
2020-01-02,Sweden,27.82,38.77,46.37,115.92,Unhealthy_for_Sensitive,0.148,3.08,27
2020-01-03,Austria,31.59,51.14,35.04,106.26,Unhealthy_for_Sensitive,0.121,3.1,33
2020-01-03,Belgium,28.75,39.59,52.78,131.95,Unhealthy_for_Sensitive,0.121,3.1,33
2020-01-03,France,24.31,31.53,28.16,79.61,Moderate,0.121,3.1,33
2020-01-03,Germany,33.86,47.66,45.75,114.37,Unhealthy_for_Sensitive,0.121,3.1,33
2020-01-03,Italy,28.27,40.14,31.92,90.37,Moderate,0.121,3.1,33
2020-01-03,Netherlands,28.28,45.27,29.16,95.45,Moderate,0.121,3.1,33
2020-01-03,Poland,28.2,42.72,51.56,128.9,Unhealthy_for_Sensitive,0.121,3.1,33
2020-01-03,Portugal,30.62,36.73,33.89,87.5,Moderate,0.121,3.1,33
2020-01-03,Spain,31.4,44.73,28.8,98.3,Moderate,0.121,3.1,33
2020-01-04,Austria,28.64,54.27,29.0,108.54,Unhealthy_for_Sensitive,0.093,3.05,43
2020-01-04,Belgium,21.48,38.6,30.09,87.37,Moderate,0.093,3.05,43
2020-01-04,France,32.76,55.65,39.67,111.31,Unhealthy_for_Sensitive,0.093,3.05,43
2020-01-04,Germany,25.72,38.01,31.48,93.3,Moderate,0.093,3.05,43
2020-01-04,Italy,18.94,40.24,25.21,80.49,Moderate,0.093,3.05,43
2020-01-04,Netherlands,28.26,39.23,32.84,91.57,Moderate,0.093,3.05,43
2020-01-04,Poland,22.62,31.33,27.79,72.91,Moderate,0.093,3.05,43
2020-01-04,Portugal,35.31,57.36,26.9,114.73,Unhealthy_for_Sensitive,0.093,3.05,43
2020-01-04,Spain,36.25,52.98,36.08,105.96,Moderate,0.093,3.05,43
2020-01-04,Sweden,26.41,45.11,33.13,99.52,Moderate,0.093,3.05,43
2020-01-05,Austria,28.88,31.48,27.76,82.52,Moderate,0.045,3.01,44
2020-01-05,Belgium,26.22,35.88,28.23,84.01,Moderate,0.045,3.01,44
2020-01-05,France,35.54,60.15,35.47,120.29,Unhealthy_for_Sensitive,0.045,3.01,44
2020-01-05,Germany,32.07,48.91,32.3,100.64,Moderate,0.045,3.01,44
2020-01-05,Italy,29.48,36.43,25.4,84.22,Moderate,0.045,3.01,44
2020-01-05,Netherlands,32.13,51.91,46.91,122.09,Unhealthy_for_Sensitive,0.045,3.01,44
2020-01-05,Poland,25.57,41.67,46.1,115.27,Moderate,0.045,3.01,44
2020-01-05,Portugal,29.55,45.58,47.98,119.97,Unhealthy_for_Sensitive,0.045,3.01,44
2020-01-05,Spain,30.44,52.68,25.43,105.35,Moderate,0.045,3.01,44
2020-01-05,Sweden,25.58,34.06,31.36,88.46,Moderate,0.045,3.01,44
2020-01-06,Austria,22.05,33.13,36.05,73.05,Moderate,0.023,3.02,44
2020-01-06,Belgium,26.27,34.8,26.6,77.48,Moderate,0.023,3.02,44
2020-01-06,France,24.6,38.62,26.96,94.12,Unhealthy_for_Sensitive,0.023,3.02,44
2020-01-06,Germany,38.28,53.68,29.95,109.38,Unhealthy_for_Sensitive,0.023,3.02,44
2020-01-06,Italy,28.43,44.21,25.4,88.42,Moderate,0.023,3.02,44
2020-01-06,Netherlands,21.55,44.27,49.0,122.49,Unhealthy_for_Sensitive,0.023,3.02,44
2020-01-06,Poland,33.25,46.88,44.52,111.29,Unhealthy_for_Sensitive,0.023,3.02,44
2020-01-06,Portugal,28.84,43.25,30.98,90.03,Moderate,0.023,3.02,44
2020-01-06,Spain,25.56,36.46,30.41,85.38,Moderate,0.023,3.02,44
2020-01-06,Sweden,29.81,45.92,35.88,93.52,Moderate,0.023,3.02,44
2020-01-07,Austria,27.79,38.23,27.92,79.41,Moderate,0.049,2.97,41
2020-01-07,Belgium,21.65,29.23,35.39,89.49,Unhealthy_for_Sensitive,0.049,2.97,41
2020-01-07,Germany,27.48,42.82,29.59,95.93,Moderate,0.049,2.97,41
2020-01-07,Italy,35.78,67.54,39.82,135.07,Unhealthy_for_Sensitive,0.049,2.97,41
2020-01-07,Netherlands,24.85,32.35,24.27,75.18,Moderate,0.049,2.97,41
2020-01-07,Poland,32.92,55.94,41.38,126.09,Unhealthy_for_Sensitive,0.049,2.97,41
2020-01-07,Portugal,28.74,40.49,31.62,82.13,Moderate,0.049,2.97,41
2020-01-07,Spain,32.3,47.67,40.12,110.97,Unhealthy_for_Sensitive,0.049,2.97,41
2020-01-07,Sweden,33.25,49.77,28.11,102.52,Unhealthy_for_Sensitive,0.049,2.97,41
2020-01-08,Austria,26.67,36.42,32.85,87.58,Moderate,0.0,2.95,42
2020-01-08,France,23.31,19.95,31.23,78.09,Moderate,0.0,2.95,42
2020-01-08,Germany,26.41,34.31,29.96,86.51,Moderate,0.0,2.95,42
2020-01-08,Netherlands,32.5,38.22,42.18,105.46,Unhealthy_for_Sensitive,0.0,2.95,42
2020-01-08,Poland,27.32,31.18,35.4,88.51,Moderate,0.0,2.95,42
2020-01-08,Portugal,33.65,38.06,43.76,109.41,Unhealthy_for_Sensitive,0.0,2.95,42
2020-01-08,Spain,26.51,39.51,21.86,79.02,Moderate,0.0,2.95,42
2020-01-08,Sweden,33.28,40.08,46.99,119.3,Unhealthy_for_Sensitive,0.0,2.95,42
2020-01-09,Belgium,26.04,22.37,41.0,102.5,Moderate,-0.132,2.82,38
2020-01-09,France,32.41,51.9,32.53,123.85,Unhealthy_for_Sensitive,-0.132,2.82,38
2020-01-09,Germany,22.41,26.66,41.61,104.03,Unhealthy_for_Sensitive,-0.132,2.82,38
2020-01-09,Italy,22.33,34.06,29.48,85.95,Moderate,-0.132,2.82,38
2020-01-09,Netherlands,29.31,46.24,39.49,98.73,Moderate,-0.132,2.82,38
2020-01-09,Poland,24.91,35.98,40.95,117.98,Unhealthy_for_Sensitive,-0.132,2.82,38
2020-01-09,Portugal,32.54,52.2,36.91,108.28,Unhealthy_for_Sensitive,-0.132,2.82,38
2020-01-09,Spain,25.29,40.77,28.4,85.19,Moderate,-0.132,2.82,38
