timestamp,country,water_body,source_type,monitoring_station,temperature,ph,dissolved_oxygen,turbidity,conductivity,nitrate,phosphate,ammonia,bod,cod,chloride,total_solids,coliform_count,wqi,safety_category,month,season
2020-01-01,Belgium,Lake Gileppe,Groundwater,Downstream,14.95,7.12,3.9,23.25,479.45,8.51,0.272,0.707,6.24,15.28,62.22,397.17,53.66,80.07,Contaminated,1.0,1.0
2020-01-01,Italy,Lake Como,Stream,Upstream,13.77,7.06,6.64,18.45,547.37,7.29,0.181,0.498,4.92,11.23,49.94,343.12,60.75,89.96,Moderate_Risk,1.0,1.0
2020-01-01,Austria,Mur River,Lake,Midstream,13.08,7.33,7.64,22.47,574.92,7.83,0.203,0.819,5.99,20.29,58.63,429.25,75.55,89.55,Moderate_Risk,1.0,1.0
2020-01-02,,Lake Vanern,Groundwater,Upstream,14.17,6.98,6.09,19.17,460.22,7.93,0.22,0.67,5.09,14.04,52.41,344.95,89.52,87.3,Moderate_Risk,1.0,1.0
2020-01-02,Germany,Lake Constance,Groundwater,Downstream,10.85,6.76,5.11,19.87,533.31,9.78,0.242,0.833,5.51,13.21,61.4,438.84,171.68,83.86,Moderate_Risk,1.0,1.0
2020-01-02,Poland,Lake Sniardwy,Groundwater,Downstream,15.16,7.25,4.07,28.47,624.83,8.39,0.251,0.652,6.09,17.14,59.9,386.78,58.48,79.83,Contaminated,1.0,1.0
2020-01-03,Sweden,Gota River,,Upstream,13.22,6.27,7.15,20.89,500.26,6.77,0.158,0.558,4.83,10.47,48.39,362.12,128.4,87.95,Moderate_Risk,1.0,1.0
2020-01-03,Germany,Danube River,River,Midstream,14.35,6.04,6.88,22.92,663.16,7.81,0.239,0.697,5.02,14.82,63.52,403.73,38.08,86.32,Moderate_Risk,1.0,1.0
2020-01-03,,Danube River,Stream,Midstream,15.17,8.1,6.44,20.03,544.98,7.5,0.183,0.707,5.07,13.62,46.81,426.5,40.56,89.16,Moderate_Risk,1.0,1.0
2020-01-04,Belgium,Yser River,Lake,Downstream,13.36,6.43,4.2,24.43,598.89,9.06,0.275,0.785,6.29,17.66,51.35,413.26,73.8,78.41,Contaminated,1.0,1.0
2020-01-04,Netherlands,,River,Source,14.45,7.42,6.22,20.52,552.47,8.33,0.222,0.505,4.62,9.3,57.7,388.05,61.82,88.52,Moderate_Risk,1.0,1.0
2020-01-04,Germany,Lake Constance,Stream,Downstream,15.88,5.76,4.26,23.68,568.02,10.21,0.276,1.073,6.25,12.8,61.65,381.11,114.1,76.07,Contaminated,1.0,1.0
2020-01-05,Italy,Lake Como,River,Upstream,13.98,7.1,6.73,21.82,530.31,5.06,0.21,0.605,4.89,11.28,43.91,325.59,15.69,89.52,Moderate_Risk,1.0,1.0
2020-01-05,Portugal,Guadiana River,Lake,Downstream,13.46,6.3,4.21,26.46,522.85,9.36,0.277,0.908,6.73,14.06,52.62,425.45,90.5,76.7,Contaminated,1.0,1.0
2020-01-05,Sweden,Dalalven River,Groundwater,Source,,8.93,7.31,21.71,547.7,7.65,0.191,0.676,4.61,11.06,45.15,352.46,159.07,84.33,Moderate_Risk,1.0,1.0
2020-01-06,Netherlands,Meuse River,Lake,Upstream,10.27,,8.24,,506.43,7.55,0.162,0.839,5.92,17.53,58.29,350.45,62.37,91.91,Moderate_Risk,1.0,1.0
2020-01-06,Italy,Po River,Reservoir,Source,12.28,7.42,6.82,25.34,422.56,6.66,0.206,0.658,6.07,15.62,66.55,336.11,52.21,87.27,Contaminated,1.0,1.0
2020-01-06,Italy,Po River,River,Urban_Point,12.81,6.32,4.27,31.62,533.37,7.71,0.257,,5.55,16.96,75.23,406.15,55.46,78.49,Moderate_Risk,1.0,1.0
2020-01-07,Portugal,Guadiana River,Lake,Upstream,17.87,7.51,6.39,21.7,558.62,7.53,0.222,0.781,5.11,12.24,54.46,384.09,64.25,87.92,Moderate_Risk,1.0,1.0
2020-01-07,France,Seine River,Reservoir,Midstream,16.12,6.76,7.02,23.62,516.77,7.38,0.219,0.795,6.33,16.54,61.81,361.11,93.01,86.84,Contaminated,1.0,1.0
2020-01-07,Portugal,,River,Downstream,13.96,6.5,3.81,29.83,607.35,8.8,0.253,0.91,6.61,18.16,75.05,410.63,98.44,75.85,Contaminated,1.0,1.0
2020-01-08,Germany,Lake Constance,Stream,Urban_Point,13.38,6.6,4.24,25.61,609.76,8.18,0.323,0.699,5.59,16.3,69.92,428.72,95.84,80.22,Moderate_Risk,1.0,1.0
2020-01-08,Poland,Oder River,Lake,Midstream,15.95,7.23,6.45,,560.65,7.44,0.205,0.724,5.72,13.29,51.29,386.96,29.09,87.88,Moderate_Risk,1.0,1.0
2020-01-08,Spain,Ebro River,River,Urban_Point,11.19,6.11,3.5,30.08,658.5,,0.26,0.732,6.18,17.98,69.71,424.78,73.18,74.79,Contaminated,1.0,1.0
2020-01-09,,Rhine River,River,Urban_Point,14.14,6.93,4.11,27.42,693.79,9.41,0.247,0.986,6.8,20.63,60.89,439.29,33.85,79.3,Contaminated,1.0,1.0
2020-01-09,Spain,Tagus River,Lake,Source,15.57,6.92,6.84,20.45,593.81,,0.183,0.51,5.25,10.47,68.31,385.38,39.54,89.8,Moderate_Risk,1.0,1.0
2020-01-09,Germany,Elbe River,Groundwater,Midstream,14.68,6.96,6.94,23.83,417.39,7.1,0.227,0.694,,14.93,71.16,389.37,51.31,88.18,Moderate_Risk,1.0,1.0
2020-01-10,Germany,Elbe River,Groundwater,Urban_Point,10.8,6.61,2.84,25.23,566.59,8.48,0.287,0.744,7.47,,58.1,444.49,91.02,74.18,Contaminated,1.0,1.0
2020-01-10,Belgium,Meuse River,Stream,Midstream,16.12,6.12,5.56,19.45,526.53,8.72,0.275,0.707,6.41,13.28,38.97,378.33,72.7,81.95,Contaminated,1.0,1.0
2020-01-10,Poland,Oder River,Groundwater,Downstream,13.93,5.53,3.02,28.74,681.61,7.24,0.305,0.709,6.48,14.7,78.74,411.31,119.74,70.49,Contaminated,1.0,1.0
2020-01-11,France,Seine River,Lake,Downstream,12.37,6.46,4.25,21.7,582.87,6.72,0.257,0.804,6.46,18.55,70.51,391.39,48.44,79.62,Contaminated,1.0,1.0
2020-01-11,Austria,Inn River,Lake,Source,15.16,6.99,7.15,13.42,450.6,7.03,0.229,0.503,5.04,15.65,25.43,325.68,31.81,91.84,Moderate_Risk,1.0,1.0
2020-01-11,Poland,Warta River,Lake,Upstream,10.88,7.4,6.31,18.95,567.15,5.69,0.277,0.538,5.2,16.3,64.79,409.58,23.35,87.92,Moderate_Risk,1.0,1.0
2020-01-12,Spain,Tagus River,Lake,Downstream,11.73,6.04,4.12,27.69,555.64,8.41,0.234,0.805,5.78,15.0,61.5,402.83,44.47,78.04,Moderate_Risk,1.0,
2020-01-12,Spain,Guadalquivir River,River,Downstream,15.13,6.86,5.24,20.76,558.46,9.49,0.279,,7.12,18.34,59.87,414.16,102.58,81.9,Contaminated,1.0,1.0
2020-01-12,Italy,Po River,Lake,Midstream,14.02,8.3,7.21,28.95,489.37,10.39,0.212,0.679,5.68,15.1,62.44,400.52,55.82,87.76,Moderate_Risk,1.0,1.0
2020-01-13,Sweden,Lake Vattern,Stream,Downstream,14.17,6.36,4.2,29.5,596.88,8.59,0.245,0.757,6.4,15.15,64.9,472.26,108.21,76.83,Contaminated,1.0,1.0
2020-01-13,Sweden,Lake Vattern,Reservoir,Urban_Point,13.35,6.97,3.41,23.47,580.8,8.76,0.285,0.889,6.25,13.85,64.87,414.96,,77.87,Contaminated,1.0,1.0
2020-01-13,Austria,Inn River,Stream,Urban_Point,17.41,6.42,4.09,28.48,555.16,9.39,0.28,0.709,7.02,17.47,62.87,381.58,47.41,76.66,Contaminated,1.0,1.0
2020-01-14,Spain,Lake Sanabria,Groundwater,Urban_Point,9.61,5.15,5.42,24.84,679.97,9.72,0.307,0.682,5.86,11.29,55.95,432.86,77.85,78.02,Moderate_Risk,1.0,1.0
2020-01-14,Austria,Inn River,Lake,Upstream,15.74,6.83,6.74,17.37,469.87,8.3,0.181,0.55,5.21,12.24,37.65,317.02,65.43,89.9,Moderate_Risk,1.0,1.0
2020-01-14,Sweden,Lake Vanern,River,Midstream,11.28,6.49,7.72,18.04,543.67,6.71,0.191,0.666,6.43,15.57,40.97,372.63,52.35,89.05,Contaminated,1.0,1.0
2020-01-15,Belgium,Lake Gileppe,Groundwater,Upstream,16.16,6.08,6.83,16.95,460.04,6.84,0.2,0.616,4.66,11.95,42.17,370.23,47.21,88.44,,1.0,1.0
,Germany,Rhine River,Groundwater,Downstream,14.31,7.13,3.01,18.02,517.97,7.82,0.266,0.829,6.07,14.88,67.28,435.0,36.06,79.16,Contaminated,1.0,1.0
2020-01-15,Germany,Elbe River,Stream,Midstream,13.49,7.51,7.15,18.13,541.28,6.59,0.179,0.801,6.08,15.55,73.17,393.23,112.08,88.78,Contaminated,1.0,1.0
2020-01-16,Spain,Lake Sanabria,Groundwater,Urban_Point,,5.59,4.09,23.3,544.2,9.69,0.274,0.937,6.68,17.15,69.48,440.15,54.31,75.66,Contaminated,1.0,1.0
2020-01-16,Italy,Arno River,Stream,Source,11.44,7.88,8.13,13.75,510.55,6.9,0.184,0.64,4.98,14.66,51.14,354.51,41.69,94.44,Moderate_Risk,1.0,1.0
2020-01-16,Sweden,Dalalven River,Lake,Urban_Point,13.89,6.06,3.62,24.59,672.7,10.1,0.295,0.812,6.86,17.12,75.59,405.54,49.84,75.13,Contaminated,1.0,1.0
2020-01-17,Netherlands,Meuse River,Stream,Urban_Point,17.24,7.23,3.87,22.99,572.09,9.81,0.272,0.563,6.03,15.46,47.66,427.43,32.67,80.47,Contaminated,1.0,1.0
2020-01-17,Spain,Ebro River,Reservoir,Downstream,12.4,6.38,3.46,27.67,573.81,7.77,0.264,0.824,6.32,14.83,84.98,371.96,36.01,76.21,Contaminated,1.0,1.0
2020-01-17,Germany,Rhine River,Groundwater,Downstream,12.11,7.59,4.09,28.96,590.88,10.95,0.281,0.929,6.6,18.37,62.4,410.34,80.0,77.81,Contaminated,1.0,1.0
2020-01-18,Portugal,Tagus River,Groundwater,Midstream,15.47,7.41,6.9,23.4,529.34,9.13,0.228,0.653,6.04,12.3,61.01,348.73,113.67,86.67,Contaminated,1.0,1.0
2020-01-18,Belgium,Yser River,Stream,Upstream,18.08,7.24,7.14,20.44,550.51,6.8,0.167,0.363,4.78,9.58,75.98,330.49,35.63,91.43,Moderate_Risk,1.0,1.0
2020-01-18,Sweden,Gota River,Stream,Urban_Point,10.96,5.51,4.78,25.1,617.2,7.41,0.279,0.775,5.76,13.1,70.02,418.22,71.78,77.86,Moderate_Risk,1.0,1.0
2020-01-19,Austria,Lake Neusiedl,Groundwater,Midstream,16.33,7.81,6.59,18.29,514.12,7.4,0.247,0.638,5.35,13.04,52.27,344.79,89.33,88.06,Moderate_Risk,1.0,1.0
2020-01-19,Austria,Lake Neusiedl,Reservoir,Urban_Point,16.1,6.54,4.56,21.45,669.79,8.39,0.248,0.829,6.37,17.24,82.1,404.69,46.96,82.33,Contaminated,1.0,1.0
2020-01-19,Netherlands,Scheldt River,Reservoir,Urban_Point,14.09,6.12,4.1,28.72,673.25,9.82,0.293,0.813,6.28,19.16,58.22,426.4,61.28,76.46,Contaminated,1.0,1.0
2020-01-20,Sweden,Lake Vanern,Lake,Source,13.46,7.99,6.9,21.95,507.34,8.21,0.175,0.637,,12.07,62.78,355.73,51.17,90.36,Moderate_Risk,1.0,1.0
2020-01-20,Germany,Lake Constance,Lake,Source,13.22,6.96,6.85,19.86,482.44,8.11,0.217,0.53,4.72,12.79,54.9,331.89,44.48,90.41,Moderate_Risk,1.0,1.0
,Netherlands,Meuse River,Reservoir,Midstream,17.69,7.18,6.28,21.42,438.24,8.73,0.262,0.53,5.4,11.03,54.22,399.46,98.3,86.32,,1.0,1.0
2020-01-21,Spain,Lake Sanabria,Lake,Source,11.44,7.74,7.23,21.95,592.33,5.93,0.154,0.531,4.98,12.93,47.59,360.56,26.74,91.19,Moderate_Risk,1.0,1.0
2020-01-21,Austria,Mur River,River,Upstream,16.89,7.81,6.72,12.56,487.16,8.64,0.245,0.637,4.21,9.38,45.36,310.21,89.06,91.28,,1.0,1.0
2020-01-21,France,Lake Geneva,Reservoir,Urban_Point,13.76,5.85,4.95,23.19,640.76,9.74,0.288,0.885,6.04,15.19,47.27,407.31,126.49,78.45,Contaminated,1.0,1.0
2020-01-22,France,Lake Geneva,River,Midstream,,7.51,6.41,23.27,484.63,8.92,0.247,0.71,5.46,14.08,64.8,424.28,128.53,85.97,Moderate_Risk,1.0,1.0
2020-01-22,Sweden,Lake Vattern,Stream,Midstream,16.53,7.28,7.73,21.99,572.57,9.98,0.271,0.746,5.31,13.23,53.78,343.56,83.05,90.09,Moderate_Risk,1.0,1.0
2020-01-22,Sweden,Lake Vanern,Reservoir,Midstream,17.13,6.82,6.72,,558.76,7.44,0.228,0.569,6.2,14.52,86.94,374.73,41.04,88.33,Contaminated,1.0,1.0
2020-01-23,Netherlands,IJsselmeer Lake,River,Source,16.26,6.86,6.94,24.15,501.43,8.58,0.229,,4.8,12.14,65.69,303.69,96.59,88.68,Moderate_Risk,1.0,1.0
2020-01-23,Belgium,Meuse River,Reservoir,Downstream,14.88,6.0,3.63,21.91,465.76,8.51,0.279,0.752,6.89,20.56,74.76,416.92,21.89,75.66,Contaminated,1.0,1.0
